text,video_path,num_frames,width,height,masks_path,videoid,box_path
 a person making dough,./videos/4556465.mp4,797,1920,1080,./masks/4556465,4556465,./boxs/4556465
"Residential street with identical houses featuring white balconies and red brick driveways, parked cars line the road.",./videos/3679667.mp4,68,1920,1080,./masks/3679667,3679667,./boxs/3679667
 snapshots of dog during shower and after,./videos/10914655.mp4,437,606,1080,./masks/10914655,10914655,./boxs/10914655
"A waterfall cascades down a rugged cliff surrounded by lush greenery, with water droplets misting through the air.",./videos/5250796.mp4,440,1920,1080,./masks/5250796,5250796,./boxs/5250796
 pouring beer into a glass,./videos/5051063.mp4,289,1920,1080,./masks/5051063,5051063,./boxs/5051063
"A person in a patterned dress holds a delicate floral teacup with a poised hand, ready to sip.",./videos/4974757.mp4,1064,568,1080,./masks/4974757,4974757,./boxs/4974757
"The image captures a close-up view of ripe, dark grapes nestled among vibrant green leaves on a sunny day.",./videos/6895108.mp4,536,1920,1080,./masks/6895108,6895108,./boxs/6895108
"Two individuals stand amidst a field of purple flowers, with a serene backdrop of greenery under a clear sky.",./videos/4909659.mp4,1085,1920,1012,./masks/4909659,4909659,./boxs/4909659
 clear sky over rocks on shore,./videos/10489469.mp4,150,606,1080,./masks/10489469,10489469,./boxs/10489469
 couple playing with their dog,./videos/5364845.mp4,337,1920,1012,./masks/5364845,5364845,./boxs/5364845
 back view of people cycling in city street,./videos/5920993.mp4,148,606,1080,./masks/5920993,5920993,./boxs/5920993
A chef's hand in a black glove swiftly chops lettuce with a large knife on a wooden cutting board.,./videos/11643717.mp4,384,1920,1080,./masks/11643717,11643717,./boxs/11643717
 a lion and lioness in the fields,./videos/5607553.mp4,662,1920,1080,./masks/5607553,5607553,./boxs/5607553
 waving flag of india,./videos/13190489.mp4,638,1920,1080,./masks/13190489,13190489,./boxs/13190489
"A person in a plain white t-shirt and black pants stands against a white background, with their body slightly turned to the side.",./videos/6668693.mp4,215,606,1080,./masks/6668693,6668693,./boxs/6668693
"Two individuals stand close by the seaside rocks, one gesturing towards the other amidst a calm, coastal backdrop.",./videos/4918299.mp4,151,1920,1080,./masks/4918299,4918299,./boxs/4918299
"A group of individuals engages in a lively discussion in a locker room, with one person gesturing animatedly, while another holds a basketball.",./videos/6764402.mp4,360,1920,1012,./masks/6764402,6764402,./boxs/6764402
"Two individuals are enjoying a serene moment by the water, with a portable table set between their camping chairs, holding a thermos and a container.",./videos/6263356.mp4,254,1920,1080,./masks/6263356,6263356,./boxs/6263356
"A person with a unique hairstyle stands wearing a pink satin top, layered chain necklaces, and a black strap over their shoulder, against a blurred green background.",./videos/10200815.mp4,222,568,1080,./masks/10200815,10200815,./boxs/10200815
 two women walking outdoors while discussing their notes,./videos/5536735.mp4,220,1920,1080,./masks/5536735,5536735,./boxs/5536735
"A person is sitting on a couch and painting their nails with a dark polish, with a glass dish beside them.",./videos/6448149.mp4,287,1920,1080,./masks/6448149,6448149,./boxs/6448149
 a happy man embracing a woman holding a white mug while sitting on the sofa,./videos/6570955.mp4,349,1920,810,./masks/6570955,6570955,./boxs/6570955
 low angle view of a person jogging outdoors,./videos/6022787.mp4,377,1920,1080,./masks/6022787,6022787,./boxs/6022787
 men with face masks training in gym,./videos/6116009.mp4,246,1920,1080,./masks/6116009,6116009,./boxs/6116009
 a man drinking coffee while ice fishing,./videos/6831203.mp4,779,606,1080,./masks/6831203,6831203,./boxs/6831203
 side view mirror of a car driving on a highway,./videos/12601957.mp4,812,606,1080,./masks/12601957,12601957,./boxs/12601957
 man setting up a hammock,./videos/6263351.mp4,250,1920,1080,./masks/6263351,6263351,./boxs/6263351
 mural on a building,./videos/2836314.mp4,354,1920,1080,./masks/2836314,2836314,./boxs/2836314
 frozen road and forest in winter,./videos/10130265.mp4,105,1920,1080,./masks/10130265,10130265,./boxs/10130265
 a woman swimming in the pool,./videos/6539544.mp4,481,1920,1080,./masks/6539544,6539544,./boxs/6539544
"A person sits on a brown leather chair against a green backdrop, brushing their hair with a motion blur effect.",./videos/4194831.mp4,648,1920,1080,./masks/4194831,4194831,./boxs/4194831
"A partially obscured view of a dimly lit casino, showcasing black pendant lights and a neon sign advertising live poker.",./videos/3994843.mp4,629,1920,1080,./masks/3994843,3994843,./boxs/3994843
"A person stands behind a podium, gesturing passionately during a presentation in a sunlit modern room with glass doors.",./videos/11806324.mp4,467,1920,1080,./masks/11806324,11806324,./boxs/11806324
"A blurred image of a person in the background with a focus on the green plants in the foreground, creating a serene and natural atmosphere.",./videos/4768095.mp4,397,1920,1080,./masks/4768095,4768095,./boxs/4768095
 a person writing on a paper,./videos/6830386.mp4,854,1920,1012,./masks/6830386,6830386,./boxs/6830386
 beautiful sunflower in the wind,./videos/5366270.mp4,195,1920,1080,./masks/5366270,5366270,./boxs/5366270
 a man and woman dancing together,./videos/6949112.mp4,251,1920,1080,./masks/6949112,6949112,./boxs/6949112
 an aerial footage of a couple on the seashore,./videos/4725028.mp4,235,1920,1080,./masks/4725028,4725028,./boxs/4725028
 an empty park covered in ice brought by the snowfall,./videos/3083427.mp4,422,1920,1080,./masks/3083427,3083427,./boxs/3083427
"A child reads a book under a colorful makeshift tent, surrounded by a bowl of popcorn and two adults.",./videos/6670287.mp4,1856,568,1080,./masks/6670287,6670287,./boxs/6670287
 scenic view of a beautiful lake,./videos/5138887.mp4,146,606,1080,./masks/5138887,5138887,./boxs/5138887
 a boy smiling for the camera,./videos/5552625.mp4,173,1920,1080,./masks/5552625,5552625,./boxs/5552625
 man and woman boating,./videos/6328332.mp4,1782,1920,1012,./masks/6328332,6328332,./boxs/6328332
 aerial shot of white palace,./videos/5741488.mp4,144,1920,1080,./masks/5741488,5741488,./boxs/5741488
 a woman tying a tree on a car,./videos/6127112.mp4,351,1920,1012,./masks/6127112,6127112,./boxs/6127112
"A bright, golden-yellow squash blossom proudly unfolds its petals, contrasting with the surrounding lush greenery.",./videos/5194829.mp4,332,1920,1080,./masks/5194829,5194829,./boxs/5194829
 mom and son having fun riding a swing,./videos/4978361.mp4,428,1920,1080,./masks/4978361,4978361,./boxs/4978361
"The image shows a child's feet in polka dot socks, resting on a colorful children's book, with a wooden toy train on tracks nearby.",./videos/4016501.mp4,368,1920,1080,./masks/4016501,4016501,./boxs/4016501
 a close up shot of a spraying bottle,./videos/4440707.mp4,59,606,1080,./masks/4440707,4440707,./boxs/4440707
 a woman puts a red flower on a grave then sits,./videos/6840423.mp4,350,1920,1080,./masks/6840423,6840423,./boxs/6840423
 close up shot of a snail,./videos/5219350.mp4,327,1920,1080,./masks/5219350,5219350,./boxs/5219350
 men having a conversation,./videos/4428750.mp4,306,1920,1080,./masks/4428750,4428750,./boxs/4428750
 man wearing disposable coverall while cleaning the floor,./videos/6197562.mp4,719,606,1080,./masks/6197562,6197562,./boxs/6197562
A person wearing a chunky beige sweater and black boots is sitting with their legs crossed on a patterned chair behind a wooden table with ornate metal legs.,./videos/6024454.mp4,131,606,1080,./masks/6024454,6024454,./boxs/6024454
 flames in bonfire during night,./videos/11216732.mp4,492,1920,1080,./masks/11216732,11216732,./boxs/11216732
 food on the bed,./videos/5353266.mp4,188,1920,1080,./masks/5353266,5353266,./boxs/5353266
"As the sun sets, the sky is painted with vibrant shades of red and orange contrasting the silhouettes of the city buildings.",./videos/18999795.mp4,811,606,1080,./masks/18999795,18999795,./boxs/18999795
"A person stands in a red-lit room with a neon flame on the wall, their hand raised in a gesture.",./videos/13710606.mp4,1085,606,1080,./masks/13710606,13710606,./boxs/13710606
 attractive couple at golf fields,./videos/6230171.mp4,598,1920,1012,./masks/6230171,6230171,./boxs/6230171
 person chopping red cabbage,./videos/6811291.mp4,436,1920,1012,./masks/6811291,6811291,./boxs/6811291
 woman working at cafeteria,./videos/6683741.mp4,259,1920,1080,./masks/6683741,6683741,./boxs/6683741
 footage of someone putting ice in the glass,./videos/3783027.mp4,323,1920,1080,./masks/3783027,3783027,./boxs/3783027
 a woman applying shadows makeup under her eye,./videos/3181513.mp4,535,1920,1080,./masks/3181513,3181513,./boxs/3181513
 an athlete practicing karate moves,./videos/6005336.mp4,251,606,1080,./masks/6005336,6005336,./boxs/6005336
 water pond and castle in birds eye view,./videos/13144371.mp4,182,1920,1080,./masks/13144371,13144371,./boxs/13144371
A person scrolls through a blurry Instagram feed with a finger on a smartphone screen.,./videos/4232959.mp4,203,1920,1080,./masks/4232959,4232959,./boxs/4232959
 a woman cooking food,./videos/4912628.mp4,51,1920,1080,./masks/4912628,4912628,./boxs/4912628
 a couple holding hands tightly,./videos/4918246.mp4,194,606,1080,./masks/4918246,4918246,./boxs/4918246
"An individual with curly hair leans on a metal railing by a calm waterway, under a clear sky with a streetlight standing tall in the background.",./videos/4613297.mp4,1010,568,1080,./masks/4613297,4613297,./boxs/4613297
 friends playing video games,./videos/6686155.mp4,2070,1920,1012,./masks/6686155,6686155,./boxs/6686155
 a float in a street parade passing by,./videos/4819179.mp4,269,1920,1080,./masks/4819179,4819179,./boxs/4819179
"A person in a white coat engages with a glowing, high-tech device, amidst a sterile, blue-tinged environment.",./videos/6499161.mp4,366,606,1080,./masks/6499161,6499161,./boxs/6499161
 a customer buying from a store,./videos/4053579.mp4,380,1920,1080,./masks/4053579,4053579,./boxs/4053579
 close up footage of a woman putting make up on her face,./videos/5067902.mp4,209,1920,1080,./masks/5067902,5067902,./boxs/5067902
 clouds over road among fields,./videos/12196437.mp4,442,606,1080,./masks/12196437,12196437,./boxs/12196437
 people having a toast,./videos/5847789.mp4,223,1920,810,./masks/5847789,5847789,./boxs/5847789
A woman gestures with her hands while conversing across a table in a room with dim ambient lighting.,./videos/4694334.mp4,390,568,1080,./masks/4694334,4694334,./boxs/4694334
 a close up shot of a lifebuoy,./videos/3918100.mp4,519,1920,1080,./masks/3918100,3918100,./boxs/3918100
 woman putting wood logs in fireplace,./videos/6607124.mp4,495,1920,1012,./masks/6607124,6607124,./boxs/6607124
 person doing non verbal communication with hands,./videos/10373873.mp4,627,1920,1080,./masks/10373873,10373873,./boxs/10373873
"Two individuals are seated at a wooden dining table, with one extending an arm towards the other in a comforting gesture.",./videos/6296762.mp4,226,1920,1080,./masks/6296762,6296762,./boxs/6296762
 young woman smiling looking at camera,./videos/5337114.mp4,277,1920,1080,./masks/5337114,5337114,./boxs/5337114
 a beautiful woman using fork and knife,./videos/6236331.mp4,610,568,1080,./masks/6236331,6236331,./boxs/6236331
 elderly man working out,./videos/6892552.mp4,221,606,1080,./masks/6892552,6892552,./boxs/6892552
"A woman with curly hair is bent over in a living room, adjusting a cable on an entertainment system.",./videos/4109208.mp4,360,568,1080,./masks/4109208,4109208,./boxs/4109208
 beautiful woman applying lip liner,./videos/5173822.mp4,266,1920,1012,./masks/5173822,5173822,./boxs/5173822
 a woman sitting while surrounded with chamomile flowers,./videos/10549752.mp4,642,1920,1012,./masks/10549752,10549752,./boxs/10549752
 woman scrubbing her legs with a brush,./videos/5308619.mp4,274,1920,1080,./masks/5308619,5308619,./boxs/5308619
A person in a red sweater holds a light-up sign that reads 'Merry Xmas 2021' with string lights draped over their arm.,./videos/6328609.mp4,145,1920,1080,./masks/6328609,6328609,./boxs/6328609
 turning pages of a magazine,./videos/2385274.mp4,498,1920,1080,./masks/2385274,2385274,./boxs/2385274
The image captures a reflective view in a round mirror surrounded by various makeup products on a wooden surface.,./videos/6894273.mp4,951,568,1080,./masks/6894273,6894273,./boxs/6894273
 family of three members walking through a lavender field,./videos/5124638.mp4,296,1920,1012,./masks/5124638,5124638,./boxs/5124638
 a monk performing a ritual outdoors,./videos/5416130.mp4,623,568,1080,./masks/5416130,5416130,./boxs/5416130
 a boxer taking a break on his corner,./videos/4761706.mp4,447,1920,1012,./masks/4761706,4761706,./boxs/4761706
 hands water clean sink,./videos/3974634.mp4,3168,1920,1080,./masks/3974634,3974634,./boxs/3974634
"An artist squeezes dark blue paint onto a palette, holding a paintbrush ready to create a masterpiece.",./videos/4360162.mp4,445,1920,1080,./masks/4360162,4360162,./boxs/4360162
 a bridge over a huge waterfall,./videos/5762686.mp4,442,1920,1080,./masks/5762686,5762686,./boxs/5762686
